depth_cm,sample_time,lat,lon,pH,AP,NH₄⁺-N,AK
26-00-01-098,2025-05-09 10:44:20,49.458458,120.296492,6.54,20.388,2.182,24.667
26-00-01-099,2025-05-09 10:46:15,49.458853,120.298725,6.44,8.969,11.25,15.441
26-00-01-100,2025-05-09 10:49:45,49.45926,120.301053,6.36,12.112,7.636,30.667
26-00-01-101,2025-05-09 10:53:59,49.459623,120.303168,6.02,11.298,10.313,29.412
26-00-01-102,2025-05-09 10:58:21,49.459342,120.3042,6.0,13.362,6.909,28.0
26-00-01-103,2025-05-09 11:02:27,49.459028,120.302397,6.57,23.511,20.625,8.824
26-00-01-104,2025-05-09 11:05:59,49.458695,120.300516,6.99,25.56,9.818,14.667
26-00-01-105,2025-05-09 11:09:36,49.458353,120.29857,6.99,16.183,6.818,17.647
26-00-01-106,2025-05-09 11:12:38,49.458012,120.296653,6.99,18.75,5.517,23.333
26-00-01-107,2025-05-09 11:16:00,49.457582,120.296868,6.65,14.542,5.0,50.735
26-00-01-108,2025-05-09 11:20:52,49.457884,120.298629,6.74,16.25,7.816,19.333
26-00-01-109,2025-05-09 11:25:28,49.458178,120.300365,6.65,11.183,3.864,38.235
26-00-01-110,2025-05-09 11:31:48,49.458434,120.301877,7.02,15.647,6.437,12.667
26-00-01-111,2025-05-09 11:35:45,49.458702,120.303466,6.97,15.115,5.227,34.559
26-00-01-112,2025-05-09 11:40:01,49.45903,120.305442,6.78,15.991,9.885,62.667
26-00-01-113,2025-05-09 11:44:10,49.458718,120.30598,6.65,10.267,5.909,47.059
26-00-01-114,2025-05-09 12:26:05,49.458429,120.30432,6.63,16.121,11.034,66.667
26-00-01-115,2025-05-09 12:30:51,49.458078,120.302325,6.54,12.099,9.545,54.412
26-00-01-116,2025-05-09 12:34:05,49.457723,120.300336,6.51,14.009,12.184,64.0
26-00-01-117,2025-05-09 12:37:20,49.45742,120.298631,6.49,12.252,8.636,111.029
26-00-01-118,2025-05-09 12:43:08,49.457115,120.296928,6.46,18.621,8.276,46.667
26-00-01-119,2025-05-09 12:40:29,49.456887,120.298142,6.54,8.282,8.409,38.971
26-00-01-120,2025-05-09 13:04:35,49.456422,120.297355,6.47,17.716,10.345,41.333
26-00-01-121,2025-05-09 13:08:21,49.456845,120.299167,6.6,13.702,8.636,20.588
26-00-01-122,2025-05-09 13:10:45,49.457302,120.301146,6.41,18.405,10.805,54.0
26-00-01-123,2025-05-09 13:13:42,49.457752,120.30309,6.47,11.107,2.273,33.088
26-00-01-124,2025-05-09 13:16:25,49.458183,120.304955,6.54,25.647,10.575,52.0
26-00-01-125,2025-05-09 13:19:45,49.458678,120.307112,6.37,13.779,1.591,27.206
26-00-01-126,2025-05-09 13:22:47,49.458283,120.307368,6.52,14.698,12.874,34.667
26-00-01-127,2025-05-09 13:26:30,49.457787,120.305232,6.45,10.802,4.091,27.206
26-00-01-128,2025-05-09 13:29:31,49.457344,120.303332,6.66,15.043,9.425,23.333
26-00-01-129,2025-05-09 13:32:24,49.456891,120.301386,6.59,13.55,2.273,20.588
26-00-01-130,2025-05-09 13:35:04,49.45643,120.299409,6.53,17.716,7.586,31.333
26-00-01-131,2025-05-09 13:38:17,49.455957,120.29739,6.43,13.724,5.909,30.882
26-00-01-132,2025-05-09 13:41:59,49.455512,120.297582,6.92,17.214,5.287,14.0
26-00-01-133,2025-05-09 13:47:03,49.456003,120.299694,6.94,12.514,7.955,30.882
26-00-01-134,2025-05-09 13:49:20,49.456471,120.301723,6.8,20.191,9.885,17.333
26-00-01-135,2025-05-09 13:51:52,49.456924,120.303683,6.78,15.992,4.545,20.588
26-00-01-136,2025-05-09 13:53:38,49.457382,120.305671,6.66,15.305,7.586,30.0
26-00-01-137,2025-05-09 13:56:03,49.457912,120.30797,6.57,17.391,5.909,155.882
26-00-01-138,2025-05-09 13:57:48,49.45751,120.308217,6.49,17.634,10.575,70.0
26-00-01-139,2025-05-09 14:00:09,49.457009,120.306038,6.77,17.921,3.409,13.235
26-00-01-140,2025-05-09 14:03:23,49.456524,120.303952,6.53,18.053,7.126,19.333
26-00-01-141,2025-05-09 14:07:41,49.456066,120.301981,6.6,6.843,3.182,22.794
26-00-01-142,2025-05-09 14:13:43,49.45559,120.29993,6.47,1.756,8.046,30.0
26-00-01-143,2025-05-09 14:17:34,49.455093,120.297798,6.55,3.176,5.227,18.382
26-00-01-144,2025-05-09 14:23:12,49.454658,120.297995,6.4,4.542,10.805,46.0
26-00-01-145,2025-05-09 14:25:32,49.455167,120.30018,6.47,3.743,4.091,25.735
26-00-01-146,2025-05-09 14:28:24,49.455655,120.302286,6.47,2.29,10.805,40.667
26-00-01-147,2025-05-09 14:31:08,49.456116,120.304276,6.48,3.176,7.5,27.941
26-00-01-148,2025-05-09 14:33:15,49.456602,120.306378,6.42,4.58,10.575,18.667
26-00-01-149,2025-05-09 14:35:21,49.45711,120.308582,6.64,19.166,14.961,8.0
