ID,Class,Value,Lon,Lat
1,hotPoint,116856.07,120.306466,49.452325
2,hotPoint,117643.96,120.303704,49.452088
3,hotPoint,116938.05,120.300511,49.450802
4,hotPoint,119042.36,120.301403,49.451277
5,hotPoint,120018.17,120.300175,49.451697
6,hotPoint,119623.45,120.29926,49.451034
7,coldPoint,112434.9,120.307455,49.453064
8,coldPoint,109468.52,120.30872,49.451531
9,coldPoint,107131.52,120.314101,49.452882
10,coldPoint,107372.8,120.312378,49.452561
11,coldPoint,108503.61,120.309053,49.452962
12,coldPoint,107877.54,120.310307,49.452215
13,normalPoint,114138.34,120.30652,49.451153
14,normalPoint,116693.99,120.30507,49.451421
15,normalPoint,116620.85,120.30255,49.450964
